average_price,type,year,geography
1.92,Organic,2015,Orlando
1.38,Conventional,2015,Philadelphia
1.63,Organic,2015,Philadelphia
0.61,Conventional,2015,Phoenix/Tucson
1.36,Organic,2015,Phoenix/Tucson
1.54,Conventional,2015,Pittsburgh
1.82,Organic,2015,Pittsburgh
1.09,Conventional,2015,Plains
1.68,Organic,2015,Plains
1.05,Conventional,2015,Portland
1.22,Organic,2015,Portland
1.24,Conventional,2015,Raleigh/Greensboro
1.98,Organic,2015,Raleigh/Greensboro
1.15,Conventional,2015,Richmond/Norfolk
1.66,Organic,2015,Richmond/Norfolk
1.16,Conventional,2015,Roanoke
1.47,Organic,2015,Roanoke
1.09,Conventional,2015,Sacramento
1.27,Organic,2015,Sacramento
0.82,Conventional,2015,San Diego
1.05,Organic,2015,San Diego
1.03,Conventional,2015,San Francisco
1.12,Organic,2015,San Francisco
1.06,Conventional,2015,Seattle
1.46,Organic,2015,Seattle
1.1,Conventional,2015,South Carolina
2.06,Organic,2015,South Carolina
0.8,Conventional,2015,South Central
1.39,Organic,2015,South Central
1.18,Conventional,2015,Southeast
1.83,Organic,2015,Southeast
1.07,Conventional,2015,Spokane
1.38,Organic,2015,Spokane
1.29,Conventional,2015,St. Louis
1.84,Organic,2015,St. Louis
1.45,Conventional,2015,Syracuse
1.66,Organic,2015,Syracuse
1.24,Conventional,2015,Tampa
1.84,Organic,2015,Tampa
0.95,Conventional,2015,West
1.39,Organic,2015,West
0.92,Conventional,2015,West Tex/New Mexico
1.69,Organic,2015,West Tex/New Mexico
1.17,Conventional,2015,Albany
1.93,Organic,2015,Albany
1.11,Conventional,2015,Atlanta
1.86,Organic,2015,Atlanta
1.23,Conventional,2015,Baltimore/Washington
1.41,Organic,2015,Baltimore/Washington
1.08,Conventional,2015,Boise
1.44,Organic,2015,Boise
1.23,Conventional,2015,Boston
2,Organic,2015,Boston
1.52,Conventional,2015,Buffalo/Rochester
1.64,Organic,2015,Buffalo/Rochester
1.02,Conventional,2015,California
1.24,Organic,2015,California
1.25,Conventional,2015,Charlotte
2.15,Organic,2015,Charlotte
1.14,Conventional,2015,Chicago
1.81,Organic,2015,Chicago
0.93,Conventional,2015,Cincinnati/Dayton
1.37,Organic,2015,Cincinnati/Dayton
1.02,Conventional,2015,Columbus
1.84,Organic,2015,Columbus
0.76,Conventional,2015,Dallas/Ft. Worth
1.28,Organic,2015,Dallas/Ft. Worth
0.99,Conventional,2015,Denver
1.1,Organic,2015,Denver
1.1,Conventional,2015,Detroit
1.9,Organic,2015,Detroit
1.07,Conventional,2015,Grand Rapids
1.88,Organic,2015,Grand Rapids
1.08,Conventional,2015,Great Lakes
1.73,Organic,2015,Great Lakes
1.24,Conventional,2015,Harrisburg/Scranton
1.94,Organic,2015,Harrisburg/Scranton
1.39,Conventional,2015,Hartford/Springfield
2.35,Organic,2015,Hartford/Springfield
0.77,Conventional,2015,Houston
1.2,Organic,2015,Houston
1.14,Conventional,2015,Indianapolis
1.96,Organic,2015,Indianapolis
1.27,Conventional,2015,Jacksonville
1.82,Organic,2015,Jacksonville
1.06,Conventional,2015,Las Vegas
1.63,Organic,2015,Las Vegas
0.89,Conventional,2015,Los Angeles
1.29,Organic,2015,Los Angeles
1.06,Conventional,2015,Louisville
1.79,Organic,2015,Louisville
1.3,Conventional,2015,Miami/Ft. Lauderdale
1.87,Organic,2015,Miami/Ft. Lauderdale
1.19,Conventional,2015,Midsouth
1.65,Organic,2015,Midsouth
1.08,Conventional,2015,Nashville
1.81,Organic,2015,Nashville
1.03,Conventional,2015,New Orleans/Mobile
0.98,Organic,2015,New Orleans/Mobile
1.37,Conventional,2015,New York
2.08,Organic,2015,New York
1.32,Conventional,2015,Northeast
1.94,Organic,2015,Northeast
1.12,Conventional,2015,Northern New England
1.88,Organic,2015,Northern New England
1.33,Conventional,2015,Orlando
1.79,Organic,2015,Orlando
1.4,Conventional,2015,Philadelphia
1.93,Organic,2015,Philadelphia
0.67,Conventional,2015,Phoenix/Tucson
1.36,Organic,2015,Phoenix/Tucson
1.47,Conventional,2015,Pittsburgh
1.55,Organic,2015,Pittsburgh
1.02,Conventional,2015,Plains
1.8,Organic,2015,Plains
1.11,Conventional,2015,Portland
1.24,Organic,2015,Portland
1.22,Conventional,2015,Raleigh/Greensboro
1.97,Organic,2015,Raleigh/Greensboro
1.18,Conventional,2015,Richmond/Norfolk
1.62,Organic,2015,Richmond/Norfolk
1.18,Conventional,2015,Roanoke
1.48,Organic,2015,Roanoke
1.22,Conventional,2015,Sacramento
1.13,Organic,2015,Sacramento
1.01,Conventional,2015,San Diego
1.29,Organic,2015,San Diego
1.22,Conventional,2015,San Francisco
1.27,Organic,2015,San Francisco
1.2,Conventional,2015,Seattle
1.45,Organic,2015,Seattle
1.15,Conventional,2015,South Carolina
1.93,Organic,2015,South Carolina
0.79,Conventional,2015,South Central
1.27,Organic,2015,South Central
1.19,Conventional,2015,Southeast
1.79,Organic,2015,Southeast
1.18,Conventional,2015,Spokane
1.44,Organic,2015,Spokane
1.28,Conventional,2015,St. Louis
1.92,Organic,2015,St. Louis
1.4,Conventional,2015,Syracuse
1.84,Organic,2015,Syracuse
1.27,Conventional,2015,Tampa
1.73,Organic,2015,Tampa
0.96,Conventional,2015,West
1.33,Organic,2015,West
0.8,Conventional,2015,West Tex/New Mexico
1.71,Organic,2015,West Tex/New Mexico
1.06,Conventional,2015,Albany
1.89,Organic,2015,Albany
1.1,Conventional,2015,Atlanta
1.87,Organic,2015,Atlanta
1.2,Conventional,2015,Baltimore/Washington
1.41,Organic,2015,Baltimore/Washington
1.03,Conventional,2015,Boise
1.82,Organic,2015,Boise
1.17,Conventional,2015,Boston
2.01,Organic,2015,Boston
1.5,Conventional,2015,Buffalo/Rochester
1.6,Organic,2015,Buffalo/Rochester
1.06,Conventional,2015,California
1.3,Organic,2015,California
1.18,Conventional,2015,Charlotte
2.29,Organic,2015,Charlotte
1.22,Conventional,2015,Chicago
1.83,Organic,2015,Chicago
0.93,Conventional,2015,Cincinnati/Dayton
1.26,Organic,2015,Cincinnati/Dayton
1.08,Conventional,2015,Columbus
1.67,Organic,2015,Columbus
0.8,Conventional,2015,Dallas/Ft. Worth
1.34,Organic,2015,Dallas/Ft. Worth
1.02,Conventional,2015,Denver
1.33,Organic,2015,Denver
1.19,Conventional,2015,Detroit
1.62,Organic,2015,Detroit
1.19,Conventional,2015,Grand Rapids
2.01,Organic,2015,Grand Rapids
1.13,Conventional,2015,Great Lakes
1.63,Organic,2015,Great Lakes
1.17,Conventional,2015,Harrisburg/Scranton
1.8,Organic,2015,Harrisburg/Scranton
1.35,Conventional,2015,Hartford/Springfield
2.21,Organic,2015,Hartford/Springfield
0.77,Conventional,2015,Houston
1.24,Organic,2015,Houston
1.06,Conventional,2015,Indianapolis
1.78,Organic,2015,Indianapolis
1.2,Conventional,2015,Jacksonville
1.88,Organic,2015,Jacksonville
1.06,Conventional,2015,Las Vegas
1.66,Organic,2015,Las Vegas
0.96,Conventional,2015,Los Angeles
1.23,Organic,2015,Los Angeles
1.02,Conventional,2015,Louisville
1.68,Organic,2015,Louisville
1.27,Conventional,2015,Miami/Ft. Lauderdale
1.84,Organic,2015,Miami/Ft. Lauderdale
1.15,Conventional,2015,Midsouth
1.63,Organic,2015,Midsouth
1.07,Conventional,2015,Nashville
1.71,Organic,2015,Nashville
0.94,Conventional,2015,New Orleans/Mobile
1.47,Organic,2015,New Orleans/Mobile
1.36,Conventional,2015,New York
2.02,Organic,2015,New York
1.27,Conventional,2015,Northeast
1.92,Organic,2015,Northeast
1.06,Conventional,2015,Northern New England
1.9,Organic,2015,Northern New England
1.28,Conventional,2015,Orlando
1.82,Organic,2015,Orlando
1.36,Conventional,2015,Philadelphia
1.82,Organic,2015,Philadelphia
0.61,Conventional,2015,Phoenix/Tucson
1.54,Organic,2015,Phoenix/Tucson
1.32,Conventional,2015,Pittsburgh
1.7,Organic,2015,Pittsburgh
1.08,Conventional,2015,Plains
1.8,Organic,2015,Plains
1.09,Conventional,2015,Portland
1.35,Organic,2015,Portland
1.16,Conventional,2015,Raleigh/Greensboro
2.02,Organic,2015,Raleigh/Greensboro
1.17,Conventional,2015,Richmond/Norfolk
1.57,Organic,2015,Richmond/Norfolk
1.15,Conventional,2015,Roanoke
1.47,Organic,2015,Roanoke
1.19,Conventional,2015,Sacramento
1.44,Organic,2015,Sacramento
1.02,Conventional,2015,San Diego
1.26,Organic,2015,San Diego
1.21,Conventional,2015,San Francisco
1.34,Organic,2015,San Francisco
1.26,Conventional,2015,Seattle
1.7,Organic,2015,Seattle
1.06,Conventional,2015,South Carolina
2.01,Organic,2015,South Carolina
0.81,Conventional,2015,South Central
1.37,Organic,2015,South Central
1.15,Conventional,2015,Southeast
1.81,Organic,2015,Southeast
1.21,Conventional,2015,Spokane
1.66,Organic,2015,Spokane
1.17,Conventional,2015,St. Louis
1.93,Organic,2015,St. Louis
1.37,Conventional,2015,Syracuse
1.77,Organic,2015,Syracuse
1.21,Conventional,2015,Tampa
1.75,Organic,2015,Tampa
0.94,Conventional,2015,West
1.52,Organic,2015,West
0.8,Conventional,2015,West Tex/New Mexico
1.63,Organic,2015,West Tex/New Mexico
0.99,Conventional,2015,Albany
1.83,Organic,2015,Albany
0.96,Conventional,2015,Atlanta
1.44,Organic,2015,Atlanta
1.06,Conventional,2015,Baltimore/Washington
1.15,Organic,2015,Baltimore/Washington
0.91,Conventional,2015,Boise
1.43,Organic,2015,Boise
1.22,Conventional,2015,Boston
1.78,Organic,2015,Boston
1.33,Conventional,2015,Buffalo/Rochester
1.55,Organic,2015,Buffalo/Rochester
0.85,Conventional,2015,California
1.11,Organic,2015,California
0.98,Conventional,2015,Charlotte
1.93,Organic,2015,Charlotte
0.91,Conventional,2015,Chicago
1.52,Organic,2015,Chicago
0.86,Conventional,2015,Cincinnati/Dayton
1.19,Organic,2015,Cincinnati/Dayton
0.87,Conventional,2015,Columbus
1.63,Organic,2015,Columbus
0.68,Conventional,2015,Dallas/Ft. Worth
1.24,Organic,2015,Dallas/Ft. Worth
0.93,Conventional,2015,Denver
1.29,Organic,2015,Denver
0.92,Conventional,2015,Detroit
1.55,Organic,2015,Detroit
0.94,Conventional,2015,Grand Rapids
1.98,Organic,2015,Grand Rapids
0.91,Conventional,2015,Great Lakes
1.53,Organic,2015,Great Lakes
1.06,Conventional,2015,Harrisburg/Scranton
1.65,Organic,2015,Harrisburg/Scranton
1.32,Conventional,2015,Hartford/Springfield
1.54,Organic,2015,Hartford/Springfield
0.72,Conventional,2015,Houston
1.15,Organic,2015,Houston
0.92,Conventional,2015,Indianapolis
1.69,Organic,2015,Indianapolis
0.92,Conventional,2015,Jacksonville
1.76,Organic,2015,Jacksonville
0.94,Conventional,2015,Las Vegas
1.6,Organic,2015,Las Vegas
0.74,Conventional,2015,Los Angeles
1.12,Organic,2015,Los Angeles
0.9,Conventional,2015,Louisville
1.55,Organic,2015,Louisville
0.95,Conventional,2015,Miami/Ft. Lauderdale
1.73,Organic,2015,Miami/Ft. Lauderdale
0.99,Conventional,2015,Midsouth
1.44,Organic,2015,Midsouth
0.94,Conventional,2015,Nashville
1.65,Organic,2015,Nashville
0.81,Conventional,2015,New Orleans/Mobile
1.48,Organic,2015,New Orleans/Mobile
1.36,Conventional,2015,New York
1.93,Organic,2015,New York
1.23,Conventional,2015,Northeast
1.78,Organic,2015,Northeast
1.06,Conventional,2015,Northern New England
1.89,Organic,2015,Northern New England
0.95,Conventional,2015,Orlando
1.76,Organic,2015,Orlando
1.14,Conventional,2015,Philadelphia
1.69,Organic,2015,Philadelphia
0.56,Conventional,2015,Phoenix/Tucson
1.18,Organic,2015,Phoenix/Tucson
1.25,Conventional,2015,Pittsburgh
1.77,Organic,2015,Pittsburgh
0.92,Conventional,2015,Plains
1.67,Organic,2015,Plains
0.98,Conventional,2015,Portland
1.2,Organic,2015,Portland
0.99,Conventional,2015,Raleigh/Greensboro
1.79,Organic,2015,Raleigh/Greensboro
0.97,Conventional,2015,Richmond/Norfolk
1.58,Organic,2015,Richmond/Norfolk
1,Conventional,2015,Roanoke
1.5,Organic,2015,Roanoke
1.04,Conventional,2015,Sacramento
1.22,Organic,2015,Sacramento
0.85,Conventional,2015,San Diego
1.11,Organic,2015,San Diego
0.91,Conventional,2015,San Francisco
1.06,Organic,2015,San Francisco
0.97,Conventional,2015,Seattle
1.44,Organic,2015,Seattle
0.91,Conventional,2015,South Carolina
1.66,Organic,2015,South Carolina
0.71,Conventional,2015,South Central
1.28,Organic,2015,South Central
0.93,Conventional,2015,Southeast
1.6,Organic,2015,Southeast
0.97,Conventional,2015,Spokane
1.38,Organic,2015,Spokane
1.1,Conventional,2015,St. Louis
1.93,Organic,2015,St. Louis
1.26,Conventional,2015,Syracuse
1.65,Organic,2015,Syracuse
0.92,Conventional,2015,Tampa
1.68,Organic,2015,Tampa
0.84,Conventional,2015,West
1.34,Organic,2015,West
0.71,Conventional,2015,West Tex/New Mexico
1.77,Organic,2015,West Tex/New Mexico
0.99,Conventional,2015,Albany
1.59,Organic,2015,Albany
1.03,Conventional,2015,Atlanta
1.29,Organic,2015,Atlanta
1.09,Conventional,2015,Baltimore/Washington
1.43,Organic,2015,Baltimore/Washington
1.07,Conventional,2015,Boise
1.35,Organic,2015,Boise
1.04,Conventional,2015,Boston
1.91,Organic,2015,Boston
1.36,Conventional,2015,Buffalo/Rochester
1.54,Organic,2015,Buffalo/Rochester
0.91,Conventional,2015,California
1.35,Organic,2015,California
1.17,Conventional,2015,Charlotte
1.87,Organic,2015,Charlotte
1.13,Conventional,2015,Chicago
1.78,Organic,2015,Chicago
0.93,Conventional,2015,Cincinnati/Dayton
1.24,Organic,2015,Cincinnati/Dayton
0.96,Conventional,2015,Columbus
1.78,Organic,2015,Columbus
0.67,Conventional,2015,Dallas/Ft. Worth
1.35,Organic,2015,Dallas/Ft. Worth
0.95,Conventional,2015,Denver
1.4,Organic,2015,Denver
1.11,Conventional,2015,Detroit
1.86,Organic,2015,Detroit
1.24,Conventional,2015,Grand Rapids
1.79,Organic,2015,Grand Rapids
1.07,Conventional,2015,Great Lakes
1.64,Organic,2015,Great Lakes
1.02,Conventional,2015,Harrisburg/Scranton
1.67,Organic,2015,Harrisburg/Scranton
1.09,Conventional,2015,Hartford/Springfield
2.37,Organic,2015,Hartford/Springfield
0.7,Conventional,2015,Houston
1.25,Organic,2015,Houston
0.98,Conventional,2015,Indianapolis
1.68,Organic,2015,Indianapolis
1.21,Conventional,2015,Jacksonville
1.71,Organic,2015,Jacksonville
1.01,Conventional,2015,Las Vegas
1.68,Organic,2015,Las Vegas
0.9,Conventional,2015,Los Angeles
1.29,Organic,2015,Los Angeles
1,Conventional,2015,Louisville
1.61,Organic,2015,Louisville
1.25,Conventional,2015,Miami/Ft. Lauderdale
1.72,Organic,2015,Miami/Ft. Lauderdale
1.06,Conventional,2015,Midsouth
1.58,Organic,2015,Midsouth
0.94,Conventional,2015,Nashville
1.64,Organic,2015,Nashville
0.93,Conventional,2015,New Orleans/Mobile
1.53,Organic,2015,New Orleans/Mobile
1.11,Conventional,2015,New York
1.95,Organic,2015,New York
1.09,Conventional,2015,Northeast
1.85,Organic,2015,Northeast
1.03,Conventional,2015,Northern New England
1.88,Organic,2015,Northern New England
1.23,Conventional,2015,Orlando
1.75,Organic,2015,Orlando
1.09,Conventional,2015,Philadelphia
1.76,Organic,2015,Philadelphia
0.64,Conventional,2015,Phoenix/Tucson
1.55,Organic,2015,Phoenix/Tucson
1.38,Conventional,2015,Pittsburgh
1.6,Organic,2015,Pittsburgh
0.98,Conventional,2015,Plains
1.54,Organic,2015,Plains
1.08,Conventional,2015,Portland
1.23,Organic,2015,Portland
1.14,Conventional,2015,Raleigh/Greensboro
1.73,Organic,2015,Raleigh/Greensboro
1.06,Conventional,2015,Richmond/Norfolk
1.55,Organic,2015,Richmond/Norfolk
1.02,Conventional,2015,Roanoke
1.44,Organic,2015,Roanoke
0.98,Conventional,2015,Sacramento
1.5,Organic,2015,Sacramento
0.98,Conventional,2015,San Diego
1.29,Organic,2015,San Diego
0.92,Conventional,2015,San Francisco
1.35,Organic,2015,San Francisco
1.08,Conventional,2015,Seattle
1.4,Organic,2015,Seattle
1.06,Conventional,2015,South Carolina
1.56,Organic,2015,South Carolina
0.73,Conventional,2015,South Central
1.39,Organic,2015,South Central
1.11,Conventional,2015,Southeast
1.51,Organic,2015,Southeast
1.03,Conventional,2015,Spokane
1.43,Organic,2015,Spokane
1.09,Conventional,2015,St. Louis
1.89,Organic,2015,St. Louis
1.25,Conventional,2015,Syracuse
1.65,Organic,2015,Syracuse
1.19,Conventional,2015,Tampa
1.65,Organic,2015,Tampa
0.89,Conventional,2015,West
1.4,Organic,2015,West
0.72,Conventional,2015,West Tex/New Mexico
1.66,Organic,2015,West Tex/New Mexico
1.06,Conventional,2015,Albany
1.81,Organic,2015,Albany
1.06,Conventional,2015,Atlanta
1.46,Organic,2015,Atlanta
1.25,Conventional,2015,Baltimore/Washington
1.56,Organic,2015,Baltimore/Washington
1.14,Conventional,2015,Boise
1.62,Organic,2015,Boise
1.2,Conventional,2015,Boston
1.91,Organic,2015,Boston
1.44,Conventional,2015,Buffalo/Rochester
1.65,Organic,2015,Buffalo/Rochester
0.96,Conventional,2015,California
1.52,Organic,2015,California
1.22,Conventional,2015,Charlotte
1.92,Organic,2015,Charlotte
1.17,Conventional,2015,Chicago
1.81,Organic,2015,Chicago
0.94,Conventional,2015,Cincinnati/Dayton
1.22,Organic,2015,Cincinnati/Dayton
1.05,Conventional,2015,Columbus
1.64,Organic,2015,Columbus
0.77,Conventional,2015,Dallas/Ft. Worth
1.41,Organic,2015,Dallas/Ft. Worth
1.12,Conventional,2015,Denver
1.44,Organic,2015,Denver
1.16,Conventional,2015,Detroit
1.82,Organic,2015,Detroit
1.21,Conventional,2015,Grand Rapids
1.88,Organic,2015,Grand Rapids
1.15,Conventional,2015,Great Lakes
1.65,Organic,2015,Great Lakes
1.22,Conventional,2015,Harrisburg/Scranton
1.65,Organic,2015,Harrisburg/Scranton
1.39,Conventional,2015,Hartford/Springfield
2.13,Organic,2015,Hartford/Springfield
0.73,Conventional,2015,Houston
1.29,Organic,2015,Houston
1.3,Conventional,2015,Indianapolis
1.77,Organic,2015,Indianapolis
1.24,Conventional,2015,Jacksonville
1.82,Organic,2015,Jacksonville
1.12,Conventional,2015,Las Vegas
1.79,Organic,2015,Las Vegas
0.83,Conventional,2015,Los Angeles
1.43,Organic,2015,Los Angeles
1.13,Conventional,2015,Louisville
1.75,Organic,2015,Louisville
1.29,Conventional,2015,Miami/Ft. Lauderdale
1.75,Organic,2015,Miami/Ft. Lauderdale
1.17,Conventional,2015,Midsouth
1.48,Organic,2015,Midsouth
1.03,Conventional,2015,Nashville
1.11,Organic,2015,Nashville
1.02,Conventional,2015,New Orleans/Mobile
1.48,Organic,2015,New Orleans/Mobile
1.36,Conventional,2015,New York
1.91,Organic,2015,New York
1.29,Conventional,2015,Northeast
1.84,Organic,2015,Northeast
1.11,Conventional,2015,Northern New England
1.87,Organic,2015,Northern New England
1.26,Conventional,2015,Orlando
1.85,Organic,2015,Orlando
1.34,Conventional,2015,Philadelphia
1.68,Organic,2015,Philadelphia
0.6,Conventional,2015,Phoenix/Tucson
1.66,Organic,2015,Phoenix/Tucson
1.43,Conventional,2015,Pittsburgh
1.71,Organic,2015,Pittsburgh
1.05,Conventional,2015,Plains
1.68,Organic,2015,Plains
1.23,Conventional,2015,Portland
1.51,Organic,2015,Portland
1.21,Conventional,2015,Raleigh/Greensboro
1.69,Organic,2015,Raleigh/Greensboro
1.13,Conventional,2015,Richmond/Norfolk
1.59,Organic,2015,Richmond/Norfolk
1.07,Conventional,2015,Roanoke
1.46,Organic,2015,Roanoke
1.13,Conventional,2015,Sacramento
1.63,Organic,2015,Sacramento
0.94,Conventional,2015,San Diego
1.49,Organic,2015,San Diego
1.23,Conventional,2015,San Francisco
1.55,Organic,2015,San Francisco
1.33,Conventional,2015,Seattle
1.59,Organic,2015,Seattle
1.11,Conventional,2015,South Carolina
1.72,Organic,2015,South Carolina
0.8,Conventional,2015,South Central
1.39,Organic,2015,South Central
1.16,Conventional,2015,Southeast
1.64,Organic,2015,Southeast
1.24,Conventional,2015,Spokane
1.51,Organic,2015,Spokane
1.23,Conventional,2015,St. Louis
1.82,Organic,2015,St. Louis
1.35,Conventional,2015,Syracuse
1.72,Organic,2015,Syracuse
1.21,Conventional,2015,Tampa
1.75,Organic,2015,Tampa
0.98,Conventional,2015,West
1.58,Organic,2015,West
0.78,Conventional,2015,West Tex/New Mexico
1.7,Organic,2015,West Tex/New Mexico
1.07,Conventional,2015,Albany
1.82,Organic,2015,Albany
1.1,Conventional,2015,Atlanta
1.38,Organic,2015,Atlanta
1.11,Conventional,2015,Baltimore/Washington
1.19,Organic,2015,Baltimore/Washington
0.99,Conventional,2015,Boise
1.75,Organic,2015,Boise
1.23,Conventional,2015,Boston
1.74,Organic,2015,Boston
1.41,Conventional,2015,Buffalo/Rochester
1.53,Organic,2015,Buffalo/Rochester
0.96,Conventional,2015,California
1.41,Organic,2015,California
1.08,Conventional,2015,Charlotte
1.9,Organic,2015,Charlotte
1.18,Conventional,2015,Chicago
1.83,Organic,2015,Chicago
0.93,Conventional,2015,Cincinnati/Dayton
1.23,Organic,2015,Cincinnati/Dayton
1.09,Conventional,2015,Columbus
1.79,Organic,2015,Columbus
0.8,Conventional,2015,Dallas/Ft. Worth
1.38,Organic,2015,Dallas/Ft. Worth
1,Conventional,2015,Denver
1.4,Organic,2015,Denver
